,is_punct,is_stop,sent_id,token
197,False,False,6,japanese
198,False,False,6,government
199,False,True,6,has
200,False,False,6,deliberately
201,False,False,6,sought
202,False,True,6,to
203,False,False,6,deceive
204,False,True,6,the
205,False,False,6,united
206,False,False,6,states
207,False,True,6,by
208,False,False,6,false
209,False,False,6,statements
210,False,True,6,and
211,False,False,6,expressions
212,False,True,6,of
213,False,False,6,hope
214,False,True,6,for
215,False,False,6,continued
216,False,False,6,peace
217,True,False,6,.
218,False,True,7,the
219,False,False,7,attack
220,False,False,7,yesterday
221,False,True,7,on
222,False,True,7,the
223,False,False,7,hawaiian
224,False,False,7,islands
225,False,True,7,has
226,False,False,7,caused
227,False,False,7,severe
228,False,False,7,damage
229,False,True,7,to
230,False,False,7,american
231,False,False,7,naval
232,False,True,7,and
233,False,False,7,military
234,False,False,7,forces
235,True,False,7,.
236,False,True,8,i
237,False,False,8,regret
238,False,True,8,to
239,False,False,8,tell
240,False,True,8,you
241,False,True,8,that
242,False,True,8,very
243,False,False,8,many
244,False,False,8,american
245,False,False,8,lives
246,False,True,8,have
247,False,True,8,been
248,False,False,8,lost
249,True,False,8,.
250,False,True,9,in
251,False,False,9,addition
252,True,False,9,","
253,False,False,9,american
254,False,False,9,ships
255,False,True,9,have
256,False,True,9,been
257,False,False,9,reported
258,False,False,9,torpedoed
259,False,True,9,on
260,False,True,9,the
261,False,False,9,high
262,False,False,9,seas
263,False,True,9,between
264,False,False,9,san
265,False,False,9,francisco
266,False,True,9,and
267,False,False,9,honolulu
268,True,False,9,.
269,False,False,10,yesterday
270,True,False,10,","
271,False,True,10,the
272,False,False,10,japanese
273,False,False,10,government
274,False,False,10,also
275,False,False,10,launched
276,False,True,10,an
277,False,False,10,attack
278,False,True,10,against
279,False,False,10,malaya
280,True,False,10,.
281,False,False,11,last
282,False,False,11,night
283,True,False,11,","
284,False,False,11,japanese
285,False,False,11,forces
286,False,False,11,attacked
287,False,False,11,hong
288,False,False,11,kong
289,True,False,11,.
290,False,False,12,last
291,False,False,12,night
292,True,False,12,","
293,False,False,12,japanese
294,False,False,12,forces
295,False,False,12,attacked
296,False,False,12,guam
297,True,False,12,.
298,False,False,13,last
299,False,False,13,night
300,True,False,13,","
301,False,False,13,japanese
302,False,False,13,forces
303,False,False,13,attacked
304,False,True,13,the
305,False,False,13,philippine
306,False,False,13,islands
307,True,False,13,.
308,False,False,14,last
309,False,False,14,night
310,True,False,14,","
311,False,True,14,the
312,False,False,14,japanese
313,False,False,14,attacked
314,False,False,14,wake
315,False,False,14,island
316,True,False,14,.
317,False,True,15,and
318,False,True,15,this
319,False,False,15,morning
320,True,False,15,","
321,False,True,15,the
322,False,False,15,japanese
323,False,False,15,attacked
324,False,False,15,midway
325,False,False,15,island
326,True,False,15,.
327,False,False,16,japan
328,False,True,16,has
329,True,False,16,","
330,False,False,16,therefore
331,True,False,16,","
332,False,False,16,undertaken
333,False,True,16,a
334,False,False,16,surprise
335,False,False,16,offensive
336,False,False,16,extending
337,False,False,16,throughout
338,False,True,16,the
339,False,False,16,pacific
340,False,False,16,area
341,True,False,16,.
342,False,True,17,the
343,False,False,17,facts
344,False,True,17,of
345,False,False,17,yesterday
346,False,True,17,and
347,False,False,17,today
348,False,False,17,speak
349,False,True,17,for
350,False,True,17,themselves
351,True,False,17,.
352,False,True,18,the
353,False,False,18,people
354,False,True,18,of
355,False,True,18,the
356,False,False,18,united
357,False,False,18,states
358,False,True,18,have
359,False,False,18,already
360,False,False,18,formed
361,False,True,18,their
362,False,False,18,opinions
363,False,True,18,and
364,False,False,18,well
365,False,False,18,understand
366,False,True,18,the
367,False,False,18,implications
368,False,True,18,to
369,False,True,18,the
370,False,True,18,very
371,False,False,18,life
372,False,True,18,and
373,False,False,18,safety
374,False,True,18,of
375,False,True,18,our
376,False,False,18,nation
377,True,False,18,.
378,False,True,19,as
379,False,False,19,commander
380,False,True,19,in
381,False,False,19,chief
382,False,True,19,of
383,False,True,19,the
384,False,False,19,army
385,False,True,19,and
386,False,False,19,navy
387,True,False,19,","
388,False,True,19,i
389,False,True,19,have
390,False,False,19,directed
391,False,True,19,that
392,False,True,19,all
393,False,False,19,measures
394,False,True,19,be
395,False,False,19,taken
396,False,True,19,for
397,False,True,19,our
398,False,False,19,defense
399,True,False,19,.
400,False,True,20,but
401,False,False,20,always
402,False,True,20,will
403,False,True,20,our
404,False,False,20,whole
405,False,False,20,nation
406,False,False,20,remember
407,False,True,20,the
408,False,False,20,character
409,False,True,20,of
410,False,True,20,the
411,False,False,20,onslaught
412,False,True,20,against
413,False,False,20,us
414,True,False,20,.
415,False,True,21,no
416,False,False,21,matter
417,False,True,21,how
418,False,False,21,long
419,False,True,21,it
420,False,False,21,may
421,False,False,21,take
422,False,False,21,us
423,False,True,21,to
424,False,False,21,overcome
425,False,True,21,this
426,False,False,21,premeditated
427,False,False,21,invasion
428,True,False,21,","
429,False,True,21,the
430,False,False,21,american
431,False,False,21,people
432,False,True,21,in
433,False,True,21,their
434,False,False,21,righteous
435,False,False,21,might
436,False,True,21,will
437,False,False,21,win
438,False,True,21,through
439,False,True,21,to
440,False,False,21,absolute
441,False,False,21,victory
442,True,False,21,.
443,False,True,22,i
444,False,False,22,believe
445,False,True,22,that
446,False,True,22,i
447,False,False,22,interpret
448,False,True,22,the
449,False,True,22,will
450,False,True,22,of
451,False,True,22,the
452,False,False,22,congress
453,False,True,22,and
454,False,True,22,of
455,False,True,22,the
456,False,False,22,people
457,False,True,22,when
458,False,True,22,i
459,False,False,22,assert
460,False,True,22,that
461,False,True,22,we
462,False,True,22,will
463,False,True,22,not
464,False,True,22,only
465,False,False,22,defend
466,False,True,22,ourselves
467,False,True,22,to
468,False,True,22,the
469,False,False,22,uttermost
470,True,False,22,","
471,False,True,22,but
472,False,True,22,will
473,False,False,22,make
474,False,True,22,it
475,False,True,22,very
476,False,False,22,certain
477,False,True,22,that
478,False,True,22,this
479,False,False,22,form
480,False,True,22,of
481,False,False,22,treachery
482,False,False,22,shall
483,False,False,22,never
484,False,True,22,again
485,False,False,22,endanger
486,False,False,22,us
487,True,False,22,.
488,False,False,23,hostilities
489,False,False,23,exist
490,True,False,23,.
491,False,True,24,there
492,False,True,24,is
493,False,True,24,no
494,False,False,24,blinking
495,False,True,24,at
496,False,True,24,the
497,False,False,24,fact
498,False,True,24,that
499,False,True,24,our
500,False,False,24,people
501,True,False,24,","
502,False,True,24,our
503,False,False,24,territory
504,True,False,24,","
505,False,True,24,and
506,False,True,24,our
507,False,False,24,interests
508,False,True,24,are
509,False,True,24,in
510,False,False,24,grave
511,False,False,24,danger
512,True,False,24,.
513,False,True,25,with
514,False,False,25,confidence
515,False,True,25,in
516,False,True,25,our
517,False,False,25,armed
518,False,False,25,forces
519,True,False,25,","
520,False,True,25,with
521,False,True,25,the
522,False,False,25,unbounding
523,False,False,25,determination
524,False,True,25,of
525,False,True,25,our
526,False,False,25,people
527,True,False,25,","
528,False,True,25,we
529,False,True,25,will
530,False,False,25,gain
531,False,True,25,the
532,False,False,25,inevitable
533,False,False,25,triumph
534,False,False,25,--
535,False,True,25,so
536,False,False,25,help
537,False,False,25,us
538,False,False,25,god
539,True,False,25,.
540,False,True,26,i
541,False,False,26,ask
542,False,True,26,that
543,False,True,26,the
544,False,False,26,congress
545,False,False,26,declare
546,False,True,26,that
547,False,False,26,since
548,False,True,26,the
549,False,False,26,unprovoked
550,False,True,26,and
551,False,False,26,dastardly
552,False,False,26,attack
553,False,True,26,by
554,False,False,26,japan
555,False,True,26,on
556,False,False,26,sunday
557,True,False,26,","
558,False,False,26,december
559,False,False,26,7th
560,True,False,26,","
561,False,False,26,1941
562,True,False,26,","
563,False,True,26,a
564,False,False,26,state
565,False,True,26,of
566,False,False,26,war
567,False,True,26,has
568,False,False,26,existed
569,False,True,26,between
570,False,True,26,the
571,False,False,26,united
572,False,False,26,states
573,False,True,26,and
574,False,True,26,the
575,False,False,26,japanese
576,False,False,26,empire
577,True,False,26,.
